location,lat,lng,boundary,stat_type,name,date,value,units,scenario,population
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011954,9508,ha,rcp45,H_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011955,6904,ha,rcp45,H_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011956,14157,ha,rcp45,H_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011957,7589,ha,rcp45,H_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011958,10592,ha,rcp45,H_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011959,5959,ha,rcp45,H_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011960,6766,ha,rcp45,H_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011961,6863,ha,rcp45,H_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011962,5816,ha,rcp45,H_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011963,15591,ha,rcp45,H_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011964,8378,ha,rcp45,H_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011965,11858,ha,rcp45,H_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011966,6326,ha,rcp45,H_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011967,5511,ha,rcp45,H_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011968,8967,ha,rcp45,H_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011969,9348,ha,rcp45,H_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011970,6063,ha,rcp45,H_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011971,8311,ha,rcp45,H_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011972,6266,ha,rcp45,H_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011973,8473,ha,rcp45,H_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011974,8507,ha,rcp45,H_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011975,6339,ha,rcp45,H_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011976,6067,ha,rcp45,H_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011977,5219,ha,rcp45,H_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011978,6775,ha,rcp45,H_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011979,7515,ha,rcp45,H_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011980,4792,ha,rcp45,H_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011981,5923,ha,rcp45,H_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011982,5524,ha,rcp45,H_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011983,6686,ha,rcp45,H_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011984,8231,ha,rcp45,H_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011985,10780,ha,rcp45,H_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011986,7032,ha,rcp45,H_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011987,8808,ha,rcp45,H_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011988,7563,ha,rcp45,H_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011989,8566,ha,rcp45,H_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011990,10834,ha,rcp45,H_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011991,6216,ha,rcp45,H_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011992,6639,ha,rcp45,H_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011993,6012,ha,rcp45,H_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011994,4093,ha,rcp45,H_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011995,9474,ha,rcp45,H_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011996,8798,ha,rcp45,H_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011997,8504,ha,rcp45,H_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011998,7208,ha,rcp45,H_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011999,7349,ha,rcp45,H_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01012000,6411,ha,rcp45,H_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01012001,11071,ha,rcp45,H_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01012002,12399,ha,rcp45,H_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01012003,10535,ha,rcp45,H_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01012004,7725,ha,rcp45,H_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01012005,6456,ha,rcp45,H_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01012006,7229,ha,rcp45,H_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01012007,11219,ha,rcp45,H_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01012008,10979,ha,rcp45,H_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01012009,10019,ha,rcp45,H_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01012010,5744,ha,rcp45,H_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01012011,6651,ha,rcp45,H_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01012012,7107,ha,rcp45,H_mu
