location,lat,lng,boundary,stat_type,name,date,value,units,scenario,population
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011954,9500,ha,rcp45,L_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011955,6567,ha,rcp45,L_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011956,13583,ha,rcp45,L_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011957,7978,ha,rcp45,L_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011958,10952,ha,rcp45,L_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011959,5484,ha,rcp45,L_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011960,6844,ha,rcp45,L_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011961,6652,ha,rcp45,L_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011962,6597,ha,rcp45,L_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011963,14684,ha,rcp45,L_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011964,8914,ha,rcp45,L_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011965,11525,ha,rcp45,L_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011966,6390,ha,rcp45,L_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011967,5455,ha,rcp45,L_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011968,9366,ha,rcp45,L_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011969,9904,ha,rcp45,L_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011970,6511,ha,rcp45,L_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011971,8882,ha,rcp45,L_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011972,6305,ha,rcp45,L_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011973,9548,ha,rcp45,L_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011974,7883,ha,rcp45,L_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011975,6897,ha,rcp45,L_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011976,5993,ha,rcp45,L_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011977,4794,ha,rcp45,L_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011978,6870,ha,rcp45,L_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011979,7462,ha,rcp45,L_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011980,5476,ha,rcp45,L_mu
