location,lat,lng,boundary,stat_type,name,date,value,units,scenario,population
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011954,9413,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011955,5877,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011956,13587,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011957,8524,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011958,10568,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011959,6010,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011960,6839,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011961,5726,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011962,6447,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011963,13864,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011964,8698,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011965,12281,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011966,6248,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011967,5407,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011968,10375,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011969,9706,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011970,6177,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011971,9007,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011972,6036,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011973,9129,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011974,7862,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011975,7163,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011976,6021,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011977,5340,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011978,6156,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011979,7546,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011980,4859,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011981,5751,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011982,5820,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011983,6160,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011984,7744,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011985,11562,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011986,6704,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011987,9021,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011988,7002,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011989,8797,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011990,10851,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011991,6042,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011992,6629,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011993,6226,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011994,4483,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011995,9630,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011996,9052,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011997,8322,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011998,7425,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01011999,7843,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01012000,6457,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01012001,10656,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01012002,10808,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01012003,10183,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01012004,8790,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01012005,5987,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01012006,6627,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01012007,10091,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01012008,12060,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01012009,8194,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01012010,6721,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01012011,6246,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01012012,7027,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01012013,8011,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01012014,3868,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01012015,9084,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01012016,7937,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01012017,10066,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01012018,12300,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01012019,9477,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01012020,10346,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01012021,11418,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01012022,8169,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01012023,6957,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01012024,8098,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01012025,5930,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01012026,9956,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01012027,9162,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01012028,8555,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01012029,6562,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01012030,5540,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01012031,10977,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01012032,10088,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01012033,7143,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01012034,4827,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01012035,5328,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01012036,9278,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01012037,9694,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01012038,8167,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01012039,10882,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01012040,6741,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01012041,7680,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01012042,7740,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01012043,9783,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01012044,7884,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01012045,12164,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01012046,11124,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01012047,9627,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01012048,11463,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01012049,7052,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01012050,12358,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01012051,10007,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01012052,8329,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01012053,8243,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01012054,9167,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01012055,7850,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01012056,14183,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01012057,12368,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01012058,11109,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01012059,9724,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01012060,9311,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01012061,8300,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01012062,8159,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01012063,14985,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01012064,11678,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01012065,8872,ha,rcp85,bau_mu
San Francisco Bay Area Region,37.88151,-122.36979,ccc4aregions,polygon average,CanESM2,01012066,14430,ha,rcp85,bau_mu
